#{"t_start": 1741909845.5149643, "env_id": "None"}
r,l,t
-62.187282,296,11269.085645
-57.798167,281,11274.059009
-188.180159,887,11291.21129
-66.2297,296,11297.198797
-67.644156,334,11307.838737
-144.071456,666,11321.666486
-166.452906,763,11337.192258
-107.828667,485,11347.01801
-171.6201,751,11360.970266
-176.003718,824,11377.466655
-156.602439,680,11391.765285
-104.037687,463,11401.401188
-94.498816,430,11410.319693
-96.102323,443,11419.618328
-69.298795,305,11426.014938
-77.085658,350,11433.282495
-77.976266,371,11440.905425
-175.226785,825,11457.857831
-177.328333,797,11474.104344
-72.839018,343,11479.228562
-123.294504,534,11488.60796
-120.8106,562,11498.366318
-61.817789,290,11503.221056
-25.830796,118,11507.036921
-113.05962,523,11515.621083
-97.577211,436,11522.943942
-144.684643,666,11535.590144
-163.169178,784,11548.979437
-60.000533,288,11553.877437
-131.315555,531,11562.591093
-147.41395,694,11573.646915
-123.19474,591,11583.693109
-100.367634,442,11590.911456
-173.436546,817,11604.035175
-78.136761,363,11609.622617
-155.359821,726,11621.998458
-79.848244,326,11627.763738
-125.963923,602,11637.489214
-191.683742,877,11651.788595
-99.205494,454,11659.409037
-154.773325,691,11671.265904
-43.419048,189,11676.082408
-183.005897,832,11690.910511
-189.012333,889,11705.619503
-109.590479,521,11715.275217
-213.448528,955,11731.49349
-196.787382,928,11748.030404
-103.473817,468,11756.145873
-157.062659,741,11769.228956
-217.294505,899,11785.208222
-159.651355,753,11797.872382
-143.461633,656,11808.923155
-57.533362,251,11813.1574
-144.554022,639,11823.765573
-174.729612,842,11838.318222
-144.544383,626,11850.353036
-57.055575,260,11854.953884
-107.969173,523,11864.264435
-205.882545,977,11881.484448
-222.416422,963,11898.756304
-168.404633,762,11911.910959
-91.345737,421,11918.90455
-75.815348,359,11924.643421
